Season,Matchnumber,Venue,Date_Time,Winningteam,Firstteam,Secondteam,Link
2012,44,Pune,"MAY, THU 3 , 8:00 pm IST",MUMBAI INDIANS WON BY 1 RUN,"PUNE WARRIORS INDIA
119/6
(20 OV)","MUMBAI INDIANS
120/9
(20 OV )",https://www.iplt20.com/match/2012/10295
2012,43,"M. Chinnaswamy Stadium, Bengaluru","MAY, WED 2 , 8:00 pm IST",PUNJAB KINGS WON BY 4 WICKETS,"ROYAL CHALLENGERS BANGALORE
158/5
(20 OV)","PUNJAB KINGS
163/6
(19.5 OV )",https://www.iplt20.com/match/2012/10294
2012,42,"Sawai Mansingh Stadium, Jaipur","MAY, TUE 1 , 8:00 pm IST",DELHI DAREDEVILS WON BY 6 WICKETS,"RAJASTHAN ROYALS
141/6
(20 OV)","DELHI DAREDEVILS
144/4
(15.2 OV )",https://www.iplt20.com/match/2012/10293
2012,41,"Barabati Stadium, Cuttack","MAY, TUE 1 , 4:00 pm IST",DECCAN CHARGERS WON BY 13 RUNS,"DECCAN CHARGERS
186/4
(20 OV)","PUNE WARRIORS INDIA
173/5
(20 OV )",https://www.iplt20.com/match/2012/10292
2012,40,"M. A. Chidambaram Stadium, Chennai","APR, MON 30 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,"CHENNAI SUPER KINGS
139/5
(20 OV)","KOLKATA KNIGHT RIDERS
140/5
(19.4 OV )",https://www.iplt20.com/match/2012/10291
2012,39,"Wankhede Stadium, Mumbai","APR, SUN 29 , 8:00 pm IST",MUMBAI INDIANS WON BY 5 WICKETS,"MUMBAI INDIANS
101/5
(18.1 OV)","DECCAN CHARGERS
100
(18.4 OV )",https://www.iplt20.com/match/2012/10290
2012,38,"Arun Jaitley Stadium, Delhi","APR, SUN 29 , 4:00 pm IST",DELHI DAREDEVILS WON BY 1 RUN,"DELHI DAREDEVILS
152/6
(20 OV)","RAJASTHAN ROYALS
151/3
(20 OV )",https://www.iplt20.com/match/2012/10289
2012,37,"Eden Gardens, Kolkata","APR, SAT 28 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 47 RUNS,"KOLKATA KNIGHT RIDERS
190/4
(20 OV)","ROYAL CHALLENGERS BANGALORE
143/6
(20 OV )",https://www.iplt20.com/match/2012/10288
2012,36,"M. A. Chidambaram Stadium, Chennai","APR, SAT 28 , 4:00 pm IST",PUNJAB KINGS WON BY 7 RUNS,"CHENNAI SUPER KINGS
149/8
(20 OV)","PUNJAB KINGS
156/8
(20 OV )",https://www.iplt20.com/match/2012/10287
2012,35,"Arun Jaitley Stadium, Delhi","APR, FRI 27 , 8:00 pm IST",DELHI DAREDEVILS WON BY 37 RUNS,"DELHI DAREDEVILS
207/5
(20 OV)","MUMBAI INDIANS
170/9
(20 OV )",https://www.iplt20.com/match/2012/10286
2012,34,Pune,"APR, THU 26 , 8:00 pm IST",DECCAN CHARGERS WON BY 18 RUNS,"PUNE WARRIORS INDIA
159/7
(20 OV)","DECCAN CHARGERS
177/4
(20 OV )",https://www.iplt20.com/match/2012/10285
2012,33,"M. Chinnaswamy Stadium, Bengaluru","APR, WED 25 , 8:00 pm IST",MATCH ABANDONED WITHOUT A BALL BOWLED,ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS,https://www.iplt20.com/match/2012/10284
2012,32,"IS Bindra Stadium, Mohali","APR, WED 25 , 4:00 pm IST",MUMBAI INDIANS WON BY 4 WICKETS,"PUNJAB KINGS
168/3
(20 OV)","MUMBAI INDIANS
171/6
(19.5 OV )",https://www.iplt20.com/match/2012/10283
2012,31,"Eden Gardens, Kolkata","APR, TUE 24 , 8:00 pm IST",MATCH ABANDONED WITHOUT A BALL BOWLED,KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,https://www.iplt20.com/match/2012/10282
2012,30,Pune,"APR, TUE 24 , 4:00 pm IST",DELHI DAREDEVILS WON BY 8 WICKETS,"PUNE WARRIORS INDIA
146/2
(20 OV)","DELHI DAREDEVILS
148/2
(16 OV )",https://www.iplt20.com/match/2012/10281
2012,29,"Sawai Mansingh Stadium, Jaipur","APR, MON 23 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 46 RUNS,"RAJASTHAN ROYALS
143/7
(20 OV)","ROYAL CHALLENGERS BANGALORE
189/3
(20 OV )",https://www.iplt20.com/match/2012/10280
2012,28,"Barabati Stadium, Cuttack","APR, SUN 22 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,"DECCAN CHARGERS
126/7
(20 OV)","KOLKATA KNIGHT RIDERS
127/5
(19 OV )",https://www.iplt20.com/match/2012/10279
2012,27,"Wankhede Stadium, Mumbai","APR, SUN 22 , 4:00 pm IST",PUNJAB KINGS WON BY 6 WICKETS,"MUMBAI INDIANS
163/6
(20 OV)","PUNJAB KINGS
164/4
(19.3 OV )",https://www.iplt20.com/match/2012/10278
2012,26,"Arun Jaitley Stadium, Delhi","APR, SAT 21 , 8:00 pm IST",PUNE WARRIORS INDIA WON BY 20 RUNS,"DELHI DAREDEVILS
172/7
(20 OV)","PUNE WARRIORS INDIA
192/3
(20 OV )",https://www.iplt20.com/match/2012/10277
2012,25,"M. A. Chidambaram Stadium, Chennai","APR, SAT 21 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 7 WICKETS,"CHENNAI SUPER KINGS
147/3
(20 OV)","RAJASTHAN ROYALS
146/4
(20 OV )",https://www.iplt20.com/match/2012/10276
2012,24,"IS Bindra Stadium, Mohali","APR, FRI 20 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 5 WICKETS,"PUNJAB KINGS
163/6
(20 OV)","ROYAL CHALLENGERS BANGALORE
166/5
(19.3 OV )",https://www.iplt20.com/match/2012/10275
2012,23,"Arun Jaitley Stadium, Delhi","APR, THU 19 , 4:00 pm IST",DELHI DAREDEVILS WON BY 5 WICKETS,"DELHI DAREDEVILS
162/5
(19.1 OV)","DECCAN CHARGERS
157/8
(20 OV )",https://www.iplt20.com/match/2012/10274
2012,22,"IS Bindra Stadium, Mohali","APR, WED 18 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 8 WICKETS,"PUNJAB KINGS
124/7
(20 OV)","KOLKATA KNIGHT RIDERS
127/2
(16.3 OV )",https://www.iplt20.com/match/2012/10273
2012,21,"M. Chinnaswamy Stadium, Bengaluru","APR, TUE 17 , 8:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 6 WICKETS,"ROYAL CHALLENGERS BANGALORE
186/4
(20 OV)","PUNE WARRIORS INDIA
182/6
(20 OV )",https://www.iplt20.com/match/2012/10272
2012,20,"Sawai Mansingh Stadium, Jaipur","APR, TUE 17 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 5 WICKETS,"RAJASTHAN ROYALS
197/5
(19.4 OV)","DECCAN CHARGERS
196/2
(20 OV )",https://www.iplt20.com/match/2012/10271
2012,19,"Wankhede Stadium, Mumbai","APR, MON 16 , 8:00 pm IST",DELHI DAREDEVILS WON BY 7 WICKETS,"MUMBAI INDIANS
92
(19.2 OV)","DELHI DAREDEVILS
93/3
(14.5 OV )",https://www.iplt20.com/match/2012/10270
2012,18,"M. Chinnaswamy Stadium, Bengaluru","APR, SUN 15 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 59 RUNS,"ROYAL CHALLENGERS BANGALORE
136
(19.5 OV)","RAJASTHAN ROYALS
195/2
(20 OV )",https://www.iplt20.com/match/2012/10269
2012,17,"Eden Gardens, Kolkata","APR, SUN 15 , 4:00 pm IST",PUNJAB KINGS WON BY 2 RUNS,"KOLKATA KNIGHT RIDERS
132/7
(20 OV)","PUNJAB KINGS
134/9
(20 OV )",https://www.iplt20.com/match/2012/10268
2012,16,Pune,"APR, SAT 14 , 8:00 pm IST",PUNE WARRIORS INDIA WON BY 7 WICKETS,"PUNE WARRIORS INDIA
156/3
(19.2 OV)","CHENNAI SUPER KINGS
155/5
(20 OV )",https://www.iplt20.com/match/2012/10267
2012,15,"Eden Gardens, Kolkata","APR, FRI 13 , 8:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 5 WICKETS,"KOLKATA KNIGHT RIDERS
137/5
(19.2 OV)","RAJASTHAN ROYALS
131/5
(20 OV )",https://www.iplt20.com/match/2012/10266
2012,14,"IS Bindra Stadium, Mohali","APR, THU 12 , 8:00 pm IST",PUNJAB KINGS WON BY 7 WICKETS,"PUNJAB KINGS
116/3
(17.4 OV)","PUNE WARRIORS INDIA
115
(19 OV )",https://www.iplt20.com/match/2012/10265
2012,13,"M. A. Chidambaram Stadium, Chennai","APR, THU 12 , 4:00 pm IST",CHENNAI SUPER KINGS WON BY 5 WICKETS,"CHENNAI SUPER KINGS
208/5
(20 OV)","ROYAL CHALLENGERS BANGALORE
205/8
(20 OV )",https://www.iplt20.com/match/2012/10264
2012,12,"Wankhede Stadium, Mumbai","APR, WED 11 , 8:00 pm IST",MUMBAI INDIANS WON BY 27 RUNS,"MUMBAI INDIANS
197/6
(20 OV)","RAJASTHAN ROYALS
170
(19.4 OV )",https://www.iplt20.com/match/2012/10263
2012,11,"Arun Jaitley Stadium, Delhi","APR, TUE 10 , 8:00 pm IST",DELHI DAREDEVILS WON BY 8 WICKETS,"DELHI DAREDEVILS
111/2
(13.2 OV)","CHENNAI SUPER KINGS
110/8
(20 OV )",https://www.iplt20.com/match/2012/10262
2012,10,"M. Chinnaswamy Stadium, Bengaluru","APR, TUE 10 , 4:00 pm IST",KOLKATA KNIGHT RIDERS WON BY 42 RUNS,"ROYAL CHALLENGERS BANGALORE
123/9
(20 OV)","KOLKATA KNIGHT RIDERS
165/8
(20 OV )",https://www.iplt20.com/match/2012/10261
2012,9,"ACA-VDCA Stadium, Visakhapatnam","APR, MON 9 , 8:00 pm IST",MUMBAI INDIANS WON BY 5 WICKETS,"DECCAN CHARGERS
138/9
(20 OV)","MUMBAI INDIANS
142/5
(20 OV )",https://www.iplt20.com/match/2012/10260
2012,8,Pune,"APR, SUN 8 , 8:00 pm IST",PUNE WARRIORS INDIA WON BY 22 RUNS,"PUNE WARRIORS INDIA
166/6
(20 OV)","PUNJAB KINGS
144/8
(20 OV )",https://www.iplt20.com/match/2012/10259
2012,7,"Sawai Mansingh Stadium, Jaipur","APR, SUN 8 , 4:00 pm IST",RAJASTHAN ROYALS WON BY 22 RUNS,"RAJASTHAN ROYALS
164/5
(20 OV)","KOLKATA KNIGHT RIDERS
142
(20 OV )",https://www.iplt20.com/match/2012/10258
2012,6,"ACA-VDCA Stadium, Visakhapatnam","APR, SAT 7 , 8:00 pm IST",CHENNAI SUPER KINGS WON BY 74 RUNS,"DECCAN CHARGERS
119
(17.1 OV)","CHENNAI SUPER KINGS
193/6
(20 OV )",https://www.iplt20.com/match/2012/10257
2012,5,"M. Chinnaswamy Stadium, Bengaluru","APR, SAT 7 , 4:00 pm IST",ROYAL CHALLENGERS BANGALORE WON BY 20 RUNS,"ROYAL CHALLENGERS BANGALORE
157/8
(20 OV)","DELHI DAREDEVILS
137/7
(20 OV )",https://www.iplt20.com/match/2012/10256
2012,4,"Sawai Mansingh Stadium, Jaipur","APR, FRI 6 , 8:00 pm IST",RAJASTHAN ROYALS WON BY 31 RUNS,"RAJASTHAN ROYALS
191/4
(20 OV)","PUNJAB KINGS
160/9
(20 OV )",https://www.iplt20.com/match/2012/10255
2012,3,"Wankhede Stadium, Mumbai","APR, FRI 6 , 4:00 pm IST",PUNE WARRIORS INDIA WON BY 28 RUNS,"MUMBAI INDIANS
101/9
(20 OV)","PUNE WARRIORS INDIA
129/9
(20 OV )",https://www.iplt20.com/match/2012/10254
2012,2,"Eden Gardens, Kolkata","APR, THU 5 , 8:00 pm IST",DELHI DAREDEVILS WON BY 8 WICKETS,"KOLKATA KNIGHT RIDERS
97/9
(12 OV)","DELHI DAREDEVILS
100/2
(11.1 OV )",https://www.iplt20.com/match/2012/10253
2012,1,"M. A. Chidambaram Stadium, Chennai","APR, WED 4 , 8:00 pm IST",MUMBAI INDIANS WON BY 8 WICKETS,"CHENNAI SUPER KINGS
112
(19.5 OV)","MUMBAI INDIANS
115/2
(16.5 OV )",https://www.iplt20.com/match/2012/10252
2020,60,"Dubai International Cricket Stadium, Dubai","NOV, TUE 10 , 07:30 PM IST",MUMBAI INDIANS WON BY 5 WICKETS,"MUMBAI INDIANS
157/5
(18.4 OV)","DELHI CAPITALS
156/7
(20 OV )",https://www.iplt20.com/match/2020/10831
2020,59,"Sheikh Zayed Cricket Stadium, Abu Dhabi","NOV, SUN 8 , 07:30 PM IST",DELHI CAPITALS WON BY 17 RUNS,"DELHI CAPITALS
189/3
(20 OV)","SUNRISERS HYDERABAD
172/8
(20 OV )",https://www.iplt20.com/match/2020/10829
2020,58,"Sheikh Zayed Cricket Stadium, Abu Dhabi","NOV, FRI 6 , 07:30 PM IST",SUNRISERS HYDERABAD WON BY 6 WICKETS,"SUNRISERS HYDERABAD
132/4
(19.4 OV)","ROYAL CHALLENGERS BANGALORE
131/7
(20 OV )",https://www.iplt20.com/match/2020/10827
2020,57,"Dubai International Cricket Stadium, Dubai","NOV, THU 5 , 07:30 PM IST",MUMBAI INDIANS WON BY 57 RUNS,"MUMBAI INDIANS
200/5
(20 OV)","DELHI CAPITALS
143/8
(20 OV )",https://www.iplt20.com/match/2020/10826
2020,56,"Sharjah Cricket Stadium, Sharjah","NOV, TUE 3 , 07:30 PM IST",SUNRISERS HYDERABAD WON BY 10 WICKETS,"SUNRISERS HYDERABAD
151/0
(17.1 OV)","MUMBAI INDIANS
149/8
(20 OV )",https://www.iplt20.com/match/2020/10823
2020,55,"Sheikh Zayed Cricket Stadium, Abu Dhabi","NOV, MON 2 , 07:30 PM IST",DELHI CAPITALS WON BY 6 WICKETS,"DELHI CAPITALS
154/4
(19 OV)","ROYAL CHALLENGERS BANGALORE
152/7
(20 OV )",https://www.iplt20.com/match/2020/10822
2020,54,"Dubai International Cricket Stadium, Dubai","NOV, SUN 1 , 07:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 60 RUNS,"KOLKATA KNIGHT RIDERS
191/7
(20 OV)","RAJASTHAN ROYALS
131/9
(20 OV )",https://www.iplt20.com/match/2020/10821
2020,53,"Sheikh Zayed Cricket Stadium, Abu Dhabi","NOV, SUN 1 , 03:30 PM IST",CHENNAI SUPER KINGS WON BY 9 WICKETS,"CHENNAI SUPER KINGS
154/1
(18.5 OV)","PUNJAB KINGS
153/6
(20 OV )",https://www.iplt20.com/match/2020/10820
2020,52,"Sharjah Cricket Stadium, Sharjah","OCT, SAT 31 , 07:30 PM IST",SUNRISERS HYDERABAD WON BY 5 WICKETS,"ROYAL CHALLENGERS BANGALORE
120/7
(20 OV)","SUNRISERS HYDERABAD
121/5
(14.1 OV )",https://www.iplt20.com/match/2020/10819
2020,51,"Dubai International Cricket Stadium, Dubai","OCT, SAT 31 , 03:30 PM IST",MUMBAI INDIANS WON BY 9 WICKETS,"DELHI CAPITALS
110/9
(20 OV)","MUMBAI INDIANS
111/1
(14.2 OV )",https://www.iplt20.com/match/2020/10818
2020,50,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, FRI 30 , 07:30 PM IST",RAJASTHAN ROYALS WON BY 7 WICKETS,"PUNJAB KINGS
185/4
(20 OV)","RAJASTHAN ROYALS
186/3
(17.3 OV )",https://www.iplt20.com/match/2020/10817
2020,49,"Dubai International Cricket Stadium, Dubai","OCT, THU 29 , 07:30 PM IST",CHENNAI SUPER KINGS WON BY 6 WICKETS,"CHENNAI SUPER KINGS
178/4
(20 OV)","KOLKATA KNIGHT RIDERS
172/5
(20 OV )",https://www.iplt20.com/match/2020/10816
2020,FINAL,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, WED 28 , 07:30 PM IST",MUMBAI INDIANS WON BY 5 WICKETS,"MUMBAI INDIANS
166/5
(19.1 OV)","ROYAL CHALLENGERS BANGALORE
164/6
(20 OV )",https://www.iplt20.com/match/2020/10815
2020,47,"Dubai International Cricket Stadium, Dubai","OCT, TUE 27 , 07:30 PM IST",SUNRISERS HYDERABAD WON BY 88 RUNS,"SUNRISERS HYDERABAD
219/2
(20 OV)","DELHI CAPITALS
131
(19 OV )",https://www.iplt20.com/match/2020/10814
2020,46,"Sharjah Cricket Stadium, Sharjah","OCT, MON 26 , 07:30 PM IST",PUNJAB KINGS WON BY 8 WICKETS,"KOLKATA KNIGHT RIDERS
149/9
(20 OV)","PUNJAB KINGS
150/2
(18.5 OV )",https://www.iplt20.com/match/2020/10813
2020,45,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, SUN 25 , 07:30 PM IST",RAJASTHAN ROYALS WON BY 8 WICKETS,"RAJASTHAN ROYALS
196/2
(18.2 OV)","MUMBAI INDIANS
195/5
(20 OV )",https://www.iplt20.com/match/2020/10812
2020,44,"Dubai International Cricket Stadium, Dubai","OCT, SUN 25 , 03:30 PM IST",CHENNAI SUPER KINGS WON BY 8 WICKETS,"ROYAL CHALLENGERS BANGALORE
145/6
(20 OV)","CHENNAI SUPER KINGS
150/2
(18.4 OV )",https://www.iplt20.com/match/2020/10811
2020,43,"Dubai International Cricket Stadium, Dubai","OCT, SAT 24 , 07:30 PM IST",PUNJAB KINGS WON BY 12 RUNS,"PUNJAB KINGS
126/7
(20 OV)","SUNRISERS HYDERABAD
114
(19.5 OV )",https://www.iplt20.com/match/2020/10810
2020,42,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, SAT 24 , 03:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 59 RUNS,"KOLKATA KNIGHT RIDERS
194/6
(20 OV)","DELHI CAPITALS
135/9
(20 OV )",https://www.iplt20.com/match/2020/10809
2020,41,"Sharjah Cricket Stadium, Sharjah","OCT, FRI 23 , 07:30 PM IST",MUMBAI INDIANS WON BY 10 WICKETS,"CHENNAI SUPER KINGS
114/9
(20 OV)","MUMBAI INDIANS
116/0
(12.2 OV )",https://www.iplt20.com/match/2020/10808
2020,40,"Dubai International Cricket Stadium, Dubai","OCT, THU 22 , 07:30 PM IST",SUNRISERS HYDERABAD WON BY 8 WICKETS,"RAJASTHAN ROYALS
154/6
(20 OV)","SUNRISERS HYDERABAD
156/2
(18.1 OV )",https://www.iplt20.com/match/2020/10807
2020,39,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, WED 21 , 07:30 PM IST",ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,"KOLKATA KNIGHT RIDERS
84/8
(20 OV)","ROYAL CHALLENGERS BANGALORE
85/2
(13.3 OV )",https://www.iplt20.com/match/2020/10806
2020,38,"Dubai International Cricket Stadium, Dubai","OCT, TUE 20 , 07:30 PM IST",PUNJAB KINGS WON BY 5 WICKETS,"PUNJAB KINGS
167/5
(19 OV)","DELHI CAPITALS
164/5
(20 OV )",https://www.iplt20.com/match/2020/10805
2020,37,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, MON 19 , 07:30 PM IST",RAJASTHAN ROYALS WON BY 7 WICKETS,"CHENNAI SUPER KINGS
125/5
(20 OV)","RAJASTHAN ROYALS
126/3
(17.3 OV )",https://www.iplt20.com/match/2020/10804
2020,36,"Dubai International Cricket Stadium, Dubai","OCT, SUN 18 , 07:30 PM IST",MATCH TIED (KINGS XI PUNJAB WON ON SECOND SUPER OVER),"MUMBAI INDIANS
176/6
(20 OV)","PUNJAB KINGS
176/6
(20 OV )",https://www.iplt20.com/match/2020/10803
2020,35,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, SUN 18 , 03:30 PM IST",MATCH TIED (KOLKATA KNIGHT RIDERS WON THE SUPER OVER),"SUNRISERS HYDERABAD
163/6
(20 OV)","KOLKATA KNIGHT RIDERS
163/5
(20 OV )",https://www.iplt20.com/match/2020/10802
2020,34,"Sharjah Cricket Stadium, Sharjah","OCT, SAT 17 , 07:30 PM IST",DELHI CAPITALS WON BY 5 WICKETS,"DELHI CAPITALS
185/5
(19.5 OV)","CHENNAI SUPER KINGS
179/4
(20 OV )",https://www.iplt20.com/match/2020/10801
2020,33,"Dubai International Cricket Stadium, Dubai","OCT, SAT 17 , 03:30 PM IST",ROYAL CHALLENGERS BANGALORE WON BY 7 WICKETS,"RAJASTHAN ROYALS
177/6
(20 OV)","ROYAL CHALLENGERS BANGALORE
179/3
(19.4 OV )",https://www.iplt20.com/match/2020/10800
2020,32,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, FRI 16 , 07:30 PM IST",MUMBAI INDIANS WON BY 8 WICKETS,"MUMBAI INDIANS
149/2
(16.5 OV)","KOLKATA KNIGHT RIDERS
148/5
(20 OV )",https://www.iplt20.com/match/2020/10799
2020,31,"Sharjah Cricket Stadium, Sharjah","OCT, THU 15 , 07:30 PM IST",PUNJAB KINGS WON BY 8 WICKETS,"ROYAL CHALLENGERS BANGALORE
171/6
(20 OV)","PUNJAB KINGS
177/2
(20 OV )",https://www.iplt20.com/match/2020/10798
2020,30,"Dubai International Cricket Stadium, Dubai","OCT, WED 14 , 07:30 PM IST",DELHI CAPITALS WON BY 13 RUNS,"DELHI CAPITALS
161/7
(20 OV)","RAJASTHAN ROYALS
148/8
(20 OV )",https://www.iplt20.com/match/2020/10797
2020,29,"Dubai International Cricket Stadium, Dubai","OCT, TUE 13 , 07:30 PM IST",CHENNAI SUPER KINGS WON BY 20 RUNS,"SUNRISERS HYDERABAD
147/8
(20 OV)","CHENNAI SUPER KINGS
167/6
(20 OV )",https://www.iplt20.com/match/2020/10796
2020,28,"Sharjah Cricket Stadium, Sharjah","OCT, MON 12 , 07:30 PM IST",ROYAL CHALLENGERS BANGALORE WON BY 82 RUNS,"ROYAL CHALLENGERS BANGALORE
194/2
(20 OV)","KOLKATA KNIGHT RIDERS
112/9
(20 OV )",https://www.iplt20.com/match/2020/10795
2020,27,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, SUN 11 , 07:30 PM IST",MUMBAI INDIANS WON BY 5 WICKETS,"MUMBAI INDIANS
166/5
(19.4 OV)","DELHI CAPITALS
162/4
(20 OV )",https://www.iplt20.com/match/2020/10794
2020,26,"Dubai International Cricket Stadium, Dubai","OCT, SUN 11 , 03:30 PM IST",RAJASTHAN ROYALS WON BY 5 WICKETS,"SUNRISERS HYDERABAD
158/4
(20 OV)","RAJASTHAN ROYALS
163/5
(19.5 OV )",https://www.iplt20.com/match/2020/10793
2020,25,"Dubai International Cricket Stadium, Dubai","OCT, SAT 10 , 07:30 PM IST",ROYAL CHALLENGERS BANGALORE WON BY 37 RUNS,"CHENNAI SUPER KINGS
132/8
(20 OV)","ROYAL CHALLENGERS BANGALORE
169/4
(20 OV )",https://www.iplt20.com/match/2020/10792
2020,24,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, SAT 10 , 03:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 2 RUNS,"PUNJAB KINGS
162/5
(20 OV)","KOLKATA KNIGHT RIDERS
164/6
(20 OV )",https://www.iplt20.com/match/2020/10791
2020,23,"Sharjah Cricket Stadium, Sharjah","OCT, FRI 9 , 07:30 PM IST",DELHI CAPITALS WON BY 46 RUNS,"RAJASTHAN ROYALS
138
(19.4 OV)","DELHI CAPITALS
184/8
(20 OV )",https://www.iplt20.com/match/2020/10790
2020,22,"Dubai International Cricket Stadium, Dubai","OCT, THU 8 , 07:30 PM IST",SUNRISERS HYDERABAD WON BY 69 RUNS,"SUNRISERS HYDERABAD
201/6
(20 OV)","PUNJAB KINGS
132
(16.5 OV )",https://www.iplt20.com/match/2020/10789
2020,21,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, WED 7 , 07:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 10 RUNS,"KOLKATA KNIGHT RIDERS
167
(20 OV)","CHENNAI SUPER KINGS
157/5
(20 OV )",https://www.iplt20.com/match/2020/10788
2020,20,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, TUE 6 , 07:30 PM IST",MUMBAI INDIANS WON BY 57 RUNS,"MUMBAI INDIANS
193/4
(20 OV)","RAJASTHAN ROYALS
136
(18.1 OV )",https://www.iplt20.com/match/2020/10787
2020,19,"Dubai International Cricket Stadium, Dubai","OCT, MON 5 , 07:30 PM IST",DELHI CAPITALS WON BY 59 RUNS,"ROYAL CHALLENGERS BANGALORE
137/9
(20 OV)","DELHI CAPITALS
196/4
(20 OV )",https://www.iplt20.com/match/2020/10786
2020,18,"Dubai International Cricket Stadium, Dubai","OCT, SUN 4 , 07:30 PM IST",CHENNAI SUPER KINGS WON BY 10 WICKETS,"PUNJAB KINGS
178/4
(20 OV)","CHENNAI SUPER KINGS
181/0
(17.4 OV )",https://www.iplt20.com/match/2020/10785
2020,17,"Sharjah Cricket Stadium, Sharjah","OCT, SUN 4 , 03:30 PM IST",MUMBAI INDIANS WON BY 34 RUNS,"MUMBAI INDIANS
208/5
(20 OV)","SUNRISERS HYDERABAD
174/7
(20 OV )",https://www.iplt20.com/match/2020/10784
2020,16,"Sharjah Cricket Stadium, Sharjah","OCT, SAT 3 , 07:30 PM IST",DELHI CAPITALS WON BY 18 RUNS,"DELHI CAPITALS
228/4
(20 OV)","KOLKATA KNIGHT RIDERS
210/8
(20 OV )",https://www.iplt20.com/match/2020/10783
2020,15,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, SAT 3 , 03:30 PM IST",ROYAL CHALLENGERS BANGALORE WON BY 8 WICKETS,"ROYAL CHALLENGERS BANGALORE
158/2
(19.1 OV)","RAJASTHAN ROYALS
154/6
(20 OV )",https://www.iplt20.com/match/2020/10782
2020,14,"Dubai International Cricket Stadium, Dubai","OCT, FRI 2 , 07:30 PM IST",SUNRISERS HYDERABAD WON BY 7 RUNS,"CHENNAI SUPER KINGS
157/5
(20 OV)","SUNRISERS HYDERABAD
164/5
(20 OV )",https://www.iplt20.com/match/2020/10781
2020,13,"Sheikh Zayed Cricket Stadium, Abu Dhabi","OCT, THU 1 , 07:30 PM IST",MUMBAI INDIANS WON BY 48 RUNS,"PUNJAB KINGS
143/8
(20 OV)","MUMBAI INDIANS
191/4
(20 OV )",https://www.iplt20.com/match/2020/10780
2020,12,"Dubai International Cricket Stadium, Dubai","SEP, WED 30 , 07:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 37 RUNS,"RAJASTHAN ROYALS
137/9
(20 OV)","KOLKATA KNIGHT RIDERS
174/6
(20 OV )",https://www.iplt20.com/match/2020/10779
2020,11,"Sheikh Zayed Cricket Stadium, Abu Dhabi","SEP, TUE 29 , 07:30 PM IST",SUNRISERS HYDERABAD WON BY 15 RUNS,"DELHI CAPITALS
147/7
(20 OV)","SUNRISERS HYDERABAD
162/4
(20 OV )",https://www.iplt20.com/match/2020/10778
2020,10,"Dubai International Cricket Stadium, Dubai","SEP, MON 28 , 07:30 PM IST",MATCH TIED (ROYAL CHALLENGERS BANGALORE WON THE SUPER OVER),"ROYAL CHALLENGERS BANGALORE
201/3
(20 OV)","MUMBAI INDIANS
201/5
(20 OV )",https://www.iplt20.com/match/2020/10777
2020,9,"Sharjah Cricket Stadium, Sharjah","SEP, SUN 27 , 07:30 PM IST",RAJASTHAN ROYALS WON BY 4 WICKETS,"RAJASTHAN ROYALS
226/6
(19.3 OV)","PUNJAB KINGS
223/2
(20 OV )",https://www.iplt20.com/match/2020/10776
2020,8,"Sheikh Zayed Cricket Stadium, Abu Dhabi","SEP, SAT 26 , 07:30 PM IST",KOLKATA KNIGHT RIDERS WON BY 7 WICKETS,"KOLKATA KNIGHT RIDERS
145/3
(18 OV)","SUNRISERS HYDERABAD
142/4
(20 OV )",https://www.iplt20.com/match/2020/10775
